SUBJECT_PREFIX	SUBJECT_SEMTYPE	PREDICATE	OBJECT_PREFIX	OBJECT_SEMTYPE	DOC_N	DOC_N_VALID
umls	diap	DIAGNOSES	umls	fndg	131611	91879
umls	phsf	PROCESS_OF	umls	bpoc	102113	89444
umls	aapp	PART_OF	umls	virs	107191	88530
umls	medd	USES	umls	mnob	112122	88230
umls	aapp	INTERACTS_WITH	umls	bacs	146168	88145
umls	plnt	ISA	umls	plnt	104102	87943
umls	topp	ADMINISTERED_TO	umls	humn	122840	87070
umls	gngm	CAUSES	umls	celf	134134	86653
umls	bact	CAUSES	umls	dsyn	115024	86295
umls	ortf	PROCESS_OF	umls	humn	101439	85999
umls	bacs	PART_OF	umls	bpoc	100047	85984
umls	horm	TREATS	umls	mamm	94375	85494
umls	phsu	TREATS	umls	popg	112860	85164
umls	orch	compared_with	umls	orch	133986	84643
umls	orch	TREATS	umls	neop	125917	84277
umls	bdsu	PART_OF	umls	humn	89175	84252
umls	genf	PROCESS_OF	ncbigene	gngm	127029	83630
umls	celc	LOCATION_OF	umls	moft	102397	82846
umls	celc	LOCATION_OF	umls	npop	92122	82094
umls	medd	USES	umls	medd	114526	81973
umls	antb	TREATS	umls	dsyn	106072	81104
umls	aapp	STIMULATES	ncbigene	gngm	180008	80326
umls	aapp	AFFECTS	umls	orgf	120700	78613
umls	tisu	LOCATION_OF	umls	orgf	84215	78234
umls	celc	PART_OF	umls	celc	90726	77915
umls	dsyn	PROCESS_OF	umls	aggp	81439	77867
umls	topp	TREATS	umls	inpo	106257	77373
umls	lbpr	USES	umls	topp	88898	76707
umls	diap	DIAGNOSES	umls	patf	96624	76346
umls	tisu	LOCATION_OF	umls	neop	87656	75744
umls	mamm	ISA	umls	mamm	79167	75326
umls	aapp	PART_OF	umls	tisu	94675	75132
umls	celf	PROCESS_OF	umls	mamm	83298	74544
umls	bacs	ISA	umls	bacs	75144	73682
umls	bacs	ASSOCIATED_WITH	umls	dsyn	118145	73369
umls	dsyn	PREDISPOSES	umls	dsyn	114880	73275
umls	bact	ISA	umls	bact	81207	72567
umls	tisu	LOCATION_OF	umls	dsyn	93903	72231
umls	resa	USES	umls	medd	83886	72206
umls	sosy	ASSOCIATED_WITH	umls	dsyn	114994	71416
umls	orch	CAUSES	umls	celf	103081	71201
umls	virs	PROCESS_OF	umls	humn	81427	71121
umls	lbpr	DIAGNOSES	umls	dsyn	143938	70967
umls	orgf	ASSOCIATED_WITH	umls	dsyn	103231	70881
umls	tisu	LOCATION_OF	ncbigene	aapp	119191	69916
umls	bact	LOCATION_OF	umls	aapp	121657	69814
umls	dsyn	COEXISTS_WITH	umls	fndg	155779	69795
umls	aapp	PART_OF	umls	humn	94416	69608
umls	aapp	compared_with	umls	aapp	121391	69550
umls	lbpr	USES	ncbigene	aapp	92257	69060
umls	topp	TREATS	umls	sosy	100918	68658
umls	cell	LOCATION_OF	umls	genf	81236	67984
umls	cell	PART_OF	umls	tisu	75539	67747
umls	tisu	LOCATION_OF	umls	orch	101585	67731
umls	emst	PART_OF	umls	mamm	69418	66896
umls	dsyn	PROCESS_OF	umls	bact	85714	66768
umls	cell	LOCATION_OF	umls	orch	137689	66389
umls	aapp	COEXISTS_WITH	umls	gngm	213360	65459
umls	bdsy	LOCATION_OF	umls	topp	73647	64967
umls	bacs	STIMULATES	umls	gngm	113196	64846
umls	lbpr	USES	umls	phsu	90787	64840
umls	horm	TREATS	umls	dsyn	86265	64629
umls	resa	USES	umls	resd	64905	64227
umls	aapp	PART_OF	umls	bact	90159	63891
umls	topp	PRECEDES	umls	diap	94651	63874
umls	resa	USES	umls	mbrt	65989	63550
umls	aapp	STIMULATES	umls	moft	118648	62903
umls	celc	LOCATION_OF	ncbigene	aapp	117479	62739
umls	phsf	PROCESS_OF	umls	humn	69455	62505
umls	topp	USES	ncbigene	aapp	89690	62473
ncbigene	gngm	LOCATION_OF	umls	genf	102532	61976
umls	gngm	PART_OF	umls	blor	74941	61440
umls	topp	TREATS	umls	mobd	81999	61318
umls	aapp	AFFECTS	umls	moft	117155	60484
umls	aapp	CAUSES	umls	dsyn	112011	60277
umls	moft	PROCESS_OF	umls	mamm	73875	60117
umls	cgab	PART_OF	umls	humn	67732	59711
umls	dsyn	CAUSES	umls	patf	100129	58835
umls	lbpr	USES	umls	medd	71484	57674
umls	lbpr	USES	umls	irda	67627	57585
umls	diap	ADMINISTERED_TO	umls	humn	77487	57495
umls	bacs	INTERACTS_WITH	umls	aapp	110338	56490
umls	diap	USES	umls	medd	71452	56425
umls	medd	TREATS	umls	dsyn	91603	56095
umls	bsoj	PART_OF	umls	bpoc	66254	55759
umls	mamm	LOCATION_OF	ncbigene	aapp	88677	55718
umls	phsf	PROCESS_OF	umls	mamm	60900	55698
umls	cell	INTERACTS_WITH	umls	cell	71091	54550
umls	dsyn	CAUSES	umls	orgf	63360	53987
umls	aapp	ASSOCIATED_WITH	umls	patf	98513	53948
umls	hlca	USES	umls	phsu	70006	53270
umls	bdsu	PART_OF	umls	bpoc	61349	52742
umls	aapp	ISA	ncbigene	aapp	59270	52532
umls	tisu	PART_OF	umls	humn	56217	52292
umls	orch	CAUSES	umls	dsyn	87220	52207
umls	bacs	PART_OF	umls	bact	61345	52159
umls	lbpr	DIAGNOSES	umls	neop	81414	52076
ncbigene	gngm	ASSOCIATED_WITH	umls	neop	129793	51902
umls	moft	PROCESS_OF	umls	tisu	64700	51492
umls	virs	CAUSES	umls	dsyn	63421	49898
umls	celc	LOCATION_OF	umls	orch	81791	49863
umls	bacs	ASSOCIATED_WITH	umls	neop	65952	49739
umls	aapp	INTERACTS_WITH	ncbigene	aapp	114356	49726
umls	bacs	PART_OF	umls	virs	55414	49683
umls	tisu	LOCATION_OF	umls	ortf	55738	49311
umls	bsoj	LOCATION_OF	umls	neop	58725	48605
umls	aapp	AUGMENTS	umls	celf	84845	47972
ncbigene	aapp	STIMULATES	umls	gngm	106495	47888
umls	bacs	PART_OF	umls	cell	57798	47411
umls	patf	CAUSES	umls	dsyn	82091	47336
umls	topp	CAUSES	umls	dsyn	85329	47073
umls	aapp	AFFECTS	umls	ortf	87897	47048
ncbigene	aapp	ASSOCIATED_WITH	umls	neop	87311	46950
umls	diap	USES	umls	lbpr	57100	46902
umls	orch	STIMULATES	umls	gngm	139500	46878
umls	humn	LOCATION_OF	umls	bdsu	52418	46464
umls	fngs	ISA	umls	fngs	51311	46390
umls	virs	PROCESS_OF	umls	mamm	55815	45909
umls	orgf	COEXISTS_WITH	umls	orgf	53401	45467
umls	phsu	TREATS	umls	mobd	58140	45437
ncbigene	aapp	INTERACTS_WITH	umls	aapp	109997	45205
ncbigene	bacs	PART_OF	umls	aapp	56042	44408
umls	topp	ADMINISTERED_TO	umls	mamm	53323	43976
umls	bsoj	LOCATION_OF	umls	dsyn	55085	42588
umls	cell	INTERACTS_WITH	umls	gngm	98380	42390
umls	celc	PART_OF	umls	mamm	46532	42361
umls	dsyn	AFFECTS	umls	humn	67682	41890
umls	neop	ISA	umls	fndg	43681	41825
umls	diap	USES	umls	irda	47613	41688
umls	topp	USES	umls	antb	46952	41542
umls	tisu	PART_OF	umls	tisu	45873	40715
umls	topp	TREATS	umls	anab	51144	40127
ncbigene	gngm	PART_OF	umls	celc	56319	39831
ncbigene	aapp	ASSOCIATED_WITH	umls	dsyn	86195	39349
umls	gngm	PRODUCES	umls	aapp	108494	39231
umls	dora	TREATS	umls	humn	43881	39213
umls	lbpr	USES	umls	elii	44192	39134
umls	orch	TREATS	umls	sosy	61264	39046
umls	tisu	LOCATION_OF	umls	inpo	42993	38811
umls	orch	TREATS	umls	mobd	55795	38761
umls	genf	PROCESS_OF	umls	humn	43873	38201
umls	bacs	INTERACTS_WITH	umls	bacs	55617	37727
umls	aapp	AFFECTS	umls	genf	61586	37703
umls	tisu	LOCATION_OF	umls	diap	44170	37611
umls	chvf	TREATS	umls	dsyn	44219	37587
ncbigene	gngm	STIMULATES	umls	gngm	102980	37530
umls	mobd	PROCESS_OF	umls	mamm	40762	37001
umls	orga	ASSOCIATED_WITH	umls	dsyn	60009	36943
umls	genf	CAUSES	umls	dsyn	45566	36841
umls	aapp	STIMULATES	umls	bacs	64124	36811
umls	hcro	LOCATION_OF	umls	diap	48965	36566
umls	bpoc	LOCATION_OF	umls	bact	47212	36497
umls	phsu	TREATS	umls	patf	62900	36105
umls	resa	MEASURES	umls	qnco	43797	36048
umls	gngm	ASSOCIATED_WITH	umls	dsyn	114769	35987
umls	fngs	LOCATION_OF	umls	aapp	60424	35956
umls	orch	ADMINISTERED_TO	umls	mamm	57697	35862
umls	mobd	COEXISTS_WITH	umls	mobd	51216	35810
umls	chvf	TREATS	umls	neop	38261	35707
umls	gngm	PART_OF	umls	invt	60518	35596
umls	bacs	COEXISTS_WITH	umls	bacs	50165	35248
umls	mamm	LOCATION_OF	umls	orch	60098	35194
umls	dsyn	COEXISTS_WITH	umls	patf	73142	34958
umls	gngm	PART_OF	umls	neop	59324	34872
umls	phsu	CAUSES	umls	celf	43604	34643
umls	bpoc	LOCATION_OF	umls	inch	46179	34637
umls	humn	LOCATION_OF	ncbigene	aapp	67514	34553
umls	cell	PRODUCES	ncbigene	aapp	67181	34514
umls	medd	compared_with	umls	medd	44288	34288
ncbigene	aapp	PART_OF	umls	mamm	43431	34272
umls	dsyn	PROCESS_OF	umls	popg	41387	34235
umls	virs	ISA	umls	virs	37936	34211
umls	phsu	TREATS	umls	sosy	52178	34057
umls	aapp	DISRUPTS	umls	celf	70267	33940
umls	aapp	INTERACTS_WITH	umls	orch	106687	33910
umls	orch	INTERACTS_WITH	umls	aapp	120947	33749
umls	bacs	INHIBITS	umls	gngm	77657	33415
umls	lbpr	DIAGNOSES	umls	fndg	63405	33108
umls	aapp	ISA	umls	bacs	34865	33060
umls	mobd	COEXISTS_WITH	umls	dsyn	47797	32907
umls	bacs	AFFECTS	umls	celf	46761	32810
umls	gngm	AFFECTS	umls	celf	72476	32356
umls	topp	PREVENTS	umls	dsyn	62078	32320
umls	topp	USES	umls	lipd	35287	32025
umls	emst	LOCATION_OF	umls	aapp	61146	31735
ncbigene	aapp	PART_OF	umls	bpoc	45711	31698
umls	gngm	PART_OF	umls	humn	50227	31665
umls	diap	USES	umls	phsu	43161	31623
ncbigene	gngm	INTERACTS_WITH	umls	cell	82457	31434
ncbigene	gngm	CAUSES	umls	celf	54158	31129
umls	bpoc	PART_OF	umls	fish	41086	31061
umls	orch	TREATS	umls	dsyn	46101	30990
ncbigene	gngm	INTERACTS_WITH	umls	aapp	109302	30882
umls	dsyn	OCCURS_IN	umls	aggp	39049	30858
umls	aapp	PART_OF	umls	fngs	40773	30825
umls	aapp	LOCATION_OF	umls	genf	36981	30759
umls	diap	METHOD_OF	umls	diap	48012	30718
umls	aapp	AFFECTS	umls	fndg	91763	30373
umls	aapp	CAUSES	umls	patf	53055	30226
ncbigene	aapp	PART_OF	umls	virs	34447	29884
umls	orch	COEXISTS_WITH	umls	orch	103515	29825
umls	topp	TREATS	umls	humn	45872	29680
umls	mobd	ISA	umls	mobd	31057	29631
umls	inpo	ISA	umls	inpo	31225	29550
umls	topp	USES	umls	carb	34200	29536
ncbigene	aapp	AFFECTS	umls	celf	49524	29387
ncbigene	gngm	AFFECTS	umls	celf	64868	29350
umls	diap	USES	umls	elii	31987	29326
umls	aapp	INTERACTS_WITH	ncbigene	gngm	98280	29240
umls	blor	LOCATION_OF	umls	blor	36469	29239
umls	gngm	PART_OF	umls	mamm	46647	29069
umls	orch	COEXISTS_WITH	umls	inch	46045	29028
umls	dsyn	PRECEDES	umls	dsyn	60375	28991
umls	bdsu	LOCATION_OF	umls	inch	33433	28978
umls	moft	PROCESS_OF	umls	humn	41202	28961
umls	npop	ISA	umls	npop	29319	28961
umls	hcro	LOCATION_OF	umls	ocac	34104	28909
umls	bacs	PART_OF	umls	tisu	33168	28742
umls	cell	LOCATION_OF	umls	elii	34492	28703
umls	aapp	AFFECTS	umls	patf	50686	28495
umls	aapp	AFFECTS	umls	bpoc	67244	28466
umls	topp	COEXISTS_WITH	umls	hlca	49371	28303
ncbigene	gngm	compared_with	ncbigene	gngm	46581	28213
umls	topp	TREATS	umls	podg	37241	28114
umls	bpoc	LOCATION_OF	umls	bdsu	38337	28061
umls	bsoj	LOCATION_OF	umls	fndg	39745	27958
umls	dsyn	PROCESS_OF	umls	plnt	38561	27929
umls	dora	TREATS	umls	dsyn	34633	27860
umls	aapp	COEXISTS_WITH	umls	bacs	63777	27855
umls	antb	ISA	umls	antb	29103	27768
umls	dsyn	AFFECTS	umls	dsyn	67534	27630
umls	geoa	ISA	umls	geoa	28247	27553
ncbigene	gngm	ASSOCIATED_WITH	umls	dsyn	82449	27499
umls	hops	ISA	umls	hops	28605	27391
umls	bpoc	LOCATION_OF	umls	elii	35790	27264
umls	patf	COEXISTS_WITH	umls	fndg	55124	27189
umls	celf	AFFECTS	umls	celf	37414	27168
umls	orch	INTERACTS_WITH	umls	orch	100990	27164
umls	hlca	ADMINISTERED_TO	umls	humn	39220	27103
umls	tisu	PART_OF	umls	plnt	29552	27061
umls	gngm	PART_OF	umls	bpoc	42773	26966
umls	genf	PROCESS_OF	umls	mamm	31733	26948
umls	topp	TREATS	umls	cgab	39504	26925
umls	aapp	AUGMENTS	umls	ortf	44170	26774
umls	gngm	STIMULATES	umls	gngm	96161	26674
umls	phsu	TREATS	umls	humn	43125	26632
umls	bacs	AFFECTS	umls	orgf	35747	26551
umls	celc	PART_OF	umls	bact	31541	26549
umls	aapp	PREDISPOSES	umls	dsyn	60894	26521
umls	diap	ISA	umls	hlca	27144	26162
ncbigene	aapp	PART_OF	umls	celc	35769	26107
umls	dsyn	ISA	umls	patf	29773	26107
umls	lbpr	MEASURES	ncbigene	aapp	42463	26044
umls	lbpr	MEASURES	umls	qnco	38783	25982
umls	food	ISA	umls	food	26993	25942
umls	popg	ISA	umls	popg	26207	25732
umls	orch	TREATS	umls	patf	55092	25651
umls	prog	DIAGNOSES	umls	dsyn	45369	25545
ncbigene	aapp	STIMULATES	umls	cell	54361	25486
umls	plnt	LOCATION_OF	umls	elii	32430	25401
umls	aapp	COEXISTS_WITH	ncbigene	gngm	97546	25298
umls	patf	COEXISTS_WITH	umls	neop	39084	25289
umls	tisu	LOCATION_OF	umls	elii	28354	25060
umls	bpoc	LOCATION_OF	umls	hops	36648	25043
umls	orch	TREATS	umls	mamm	33965	24998
umls	orch	CAUSES	umls	inpo	33331	24627
umls	celc	PART_OF	umls	tisu	28965	24627
umls	hlca	COEXISTS_WITH	umls	topp	45864	24485
ncbigene	aapp	STIMULATES	ncbigene	gngm	56121	24448
umls	neop	COEXISTS_WITH	umls	dsyn	51740	24388
umls	orch	ISA	umls	topp	27084	24372
umls	hlca	TREATS	umls	fndg	46045	24250
umls	patf	ASSOCIATED_WITH	umls	gngm	57443	24219
umls	aapp	AFFECTS	umls	phsf	40310	24121
ncbigene	aapp	STIMULATES	umls	moft	46681	24034
umls	dsyn	CAUSES	umls	sosy	46626	23908
umls	orch	INHIBITS	ncbigene	gngm	73863	23844
umls	dsyn	COEXISTS_WITH	umls	neop	55711	23841
umls	orch	CAUSES	umls	patf	40985	23622
umls	dsyn	NEG_PROCESS_OF	umls	humn	37631	23616
umls	lipd	STIMULATES	umls	gngm	31856	23549
umls	orch	compared_with	umls	medd	27186	23533
umls	bacs	PART_OF	umls	humn	29537	23521
umls	phsu	INHIBITS	umls	gngm	49342	23518
umls	orch	DISRUPTS	umls	celf	56972	23434
umls	orch	ADMINISTERED_TO	umls	humn	41095	23394
umls	bacs	compared_with	umls	bacs	29085	23324
umls	mobd	PROCESS_OF	umls	aggp	23574	23175
umls	orch	DISRUPTS	umls	orgf	38999	23175
umls	comd	PROCESS_OF	umls	mamm	25643	23115
umls	bact	PRODUCES	umls	aapp	35480	23097
ncbigene	gngm	PART_OF	umls	blor	30480	22963
umls	bpoc	LOCATION_OF	umls	biof	27045	22896
umls	cell	LOCATION_OF	umls	virs	31589	22786
umls	topp	TREATS	umls	acab	30763	22601
umls	lbpr	ISA	umls	lbpr	23759	22558
umls	celc	LOCATION_OF	umls	carb	26650	22517
umls	topp	TREATS	umls	orga	34024	22453
umls	aapp	ISA	umls	phsu	24173	22416
umls	topp	CAUSES	umls	patf	39886	22337
umls	menp	ISA	umls	menp	23219	22324
umls	fndg	COEXISTS_WITH	umls	patf	48138	22311
umls	celf	COEXISTS_WITH	umls	celf	32019	22292
umls	gngm	INTERACTS_WITH	umls	aapp	89694	22274
umls	bacs	ADMINISTERED_TO	umls	mamm	30159	22185
umls	bdsu	PART_OF	umls	cell	24597	22177
umls	orch	CAUSES	umls	fndg	48295	22172
umls	aapp	INHIBITS	ncbigene	aapp	63383	22151
umls	bact	ASSOCIATED_WITH	umls	dsyn	37542	22094
umls	aapp	STIMULATES	umls	aapp	45119	22073
umls	phsf	PROCESS_OF	umls	plnt	26343	22018
umls	orch	TREATS	umls	bact	41825	21981
umls	orch	CAUSES	umls	sosy	31999	21880
ncbigene	gngm	PART_OF	umls	mamm	42874	21846
umls	diap	MEASURES	umls	qnco	31787	21792
umls	fndg	PREDISPOSES	umls	dsyn	53490	21783
umls	gngm	PART_OF	umls	bact	30142	21769
umls	celf	PROCESS_OF	umls	humn	29591	21765
umls	nsba	PART_OF	umls	bpoc	23586	21755
umls	plnt	LOCATION_OF	umls	lipd	26573	21731
umls	aapp	INTERACTS_WITH	umls	gngm	81531	21719
umls	plnt	LOCATION_OF	umls	carb	28510	21675
umls	dsyn	AFFECTS	umls	fndg	59025	21586
umls	bpoc	PART_OF	umls	amph	24968	21527
umls	diap	DIAGNOSES	umls	anab	27754	21476
umls	dsyn	PROCESS_OF	umls	bird	30895	21451
umls	neop	PROCESS_OF	umls	emod	23406	21430
umls	topp	AFFECTS	umls	orgf	37206	21405
umls	imft	PART_OF	umls	virs	24125	21242
umls	comd	PROCESS_OF	umls	humn	25921	21115
umls	elii	COEXISTS_WITH	umls	inch	25706	21093
ncbigene	aapp	compared_with	ncbigene	aapp	25709	21079
umls	medd	TREATS	umls	humn	29963	20938
umls	cell	AFFECTS	umls	orgf	26934	20891
umls	aapp	AFFECTS	umls	dsyn	64523	20822
umls	gngm	PART_OF	umls	celc	34014	20792
ncbigene	gngm	PART_OF	umls	virs	27493	20765
umls	cell	PRODUCES	umls	bacs	27202	20734
umls	bact	LOCATION_OF	umls	bacs	30395	20634
umls	bpoc	LOCATION_OF	umls	strd	27982	20596
umls	aapp	DISRUPTS	umls	orgf	34451	20560
umls	resa	MEASURES	umls	tmco	24601	20554
umls	bacs	AFFECTS	umls	genf	25406	20518
ncbigene	gngm	PART_OF	umls	bpoc	38536	20447
umls	celf	CAUSES	umls	celf	25811	20394
umls	hcro	LOCATION_OF	umls	edac	24054	20355
umls	aapp	INHIBITS	umls	bacs	42634	20200
umls	orgt	LOCATION_OF	umls	edac	22205	20196
umls	celc	LOCATION_OF	umls	elii	24305	20117
umls	patf	COEXISTS_WITH	umls	patf	34922	19966
umls	aapp	AUGMENTS	umls	orgf	36550	19916
umls	diap	DIAGNOSES	umls	inpo	28179	19893
umls	bsoj	LOCATION_OF	umls	inpo	23979	19791
ncbigene	aapp	INHIBITS	umls	aapp	58805	19681
umls	antb	CAUSES	umls	fndg	21420	19609
umls	comd	COEXISTS_WITH	umls	neop	29174	19604
umls	orch	AFFECTS	umls	orgf	41983	19564
umls	aapp	DISRUPTS	umls	moft	46856	19536
umls	dsyn	PROCESS_OF	umls	anim	26066	19510
umls	neop	AFFECTS	umls	bpoc	40464	19506
umls	dsyn	ASSOCIATED_WITH	umls	genf	29707	19485
umls	aapp	AFFECTS	umls	npop	44121	19391
umls	celc	AFFECTS	umls	celf	28276	19390
umls	bacs	CAUSES	umls	dsyn	33273	19388
umls	bacs	COEXISTS_WITH	umls	aapp	45942	19180
umls	hcro	LOCATION_OF	umls	lbpr	27478	19156
umls	bacs	STIMULATES	ncbigene	gngm	40093	19102
umls	invt	CAUSES	umls	dsyn	26133	19074
umls	bacs	ASSOCIATED_WITH	umls	patf	28537	19010
umls	phsu	ADMINISTERED_TO	umls	humn	27194	18775
umls	aapp	AUGMENTS	umls	bpoc	48468	18768
umls	topp	PRECEDES	umls	acab	25538	18744
ncbigene	aapp	ISA	ncbigene	aapp	21815	18742
umls	orch	AUGMENTS	umls	orgf	35099	18722
