SUBJECT_PREFIX	SUBJECT_SEMTYPE	PREDICATE	OBJECT_PREFIX	OBJECT_SEMTYPE	DOC_N	DOC_N_VALID
umls	topp	USES	umls	aapp	302389	242331
umls	tisu	LOCATION_OF	umls	aapp	341541	239291
umls	lbpr	USES	umls	lbpr	265269	238514
umls	aapp	INTERACTS_WITH	umls	aapp	485855	234458
umls	dsyn	COEXISTS_WITH	umls	dsyn	432018	234358
umls	neop	ISA	umls	neop	237730	227337
umls	lbpr	USES	umls	aapp	277680	225113
umls	aapp	STIMULATES	umls	gngm	424649	219657
umls	genf	PROCESS_OF	umls	gngm	272212	208323
umls	celc	LOCATION_OF	umls	aapp	306664	203812
umls	bdsu	LOCATION_OF	umls	orch	256265	203442
umls	aapp	PART_OF	umls	celc	245737	201715
umls	bpoc	LOCATION_OF	umls	medd	251768	201174
umls	topp	PRECEDES	umls	topp	285144	199980
umls	orgf	PROCESS_OF	umls	mamm	212245	198284
umls	inbe	PROCESS_OF	umls	humn	218370	194448
umls	inpo	PROCESS_OF	umls	humn	214858	192934
umls	blor	LOCATION_OF	umls	neop	214763	192522
umls	bdsu	LOCATION_OF	ncbigene	aapp	216039	189167
umls	diap	DIAGNOSES	umls	dsyn	270072	186831
umls	mamm	LOCATION_OF	umls	aapp	254653	185514
umls	neop	PROCESS_OF	umls	mamm	197539	181357
umls	aapp	PART_OF	umls	mamm	214707	179717
umls	orch	ISA	umls	phsu	188773	178873
umls	aapp	PART_OF	umls	bpoc	234405	176684
umls	patf	PROCESS_OF	umls	mamm	188961	173877
umls	aapp	ASSOCIATED_WITH	umls	neop	308084	172549
umls	bpoc	LOCATION_OF	umls	orch	271249	170157
umls	topp	ISA	umls	topp	175918	168285
umls	topp	TREATS	umls	aggp	183646	167724
umls	gngm	LOCATION_OF	umls	genf	235269	167495
umls	bpoc	LOCATION_OF	umls	anab	185947	166458
umls	bpoc	PART_OF	umls	humn	189240	166445
umls	blor	LOCATION_OF	umls	dsyn	195502	164439
umls	topp	TREATS	umls	mamm	189162	163806
umls	invt	ISA	umls	invt	183305	163795
umls	phsu	TREATS	umls	neop	205396	157706
umls	bpoc	LOCATION_OF	ncbigene	aapp	288805	155927
umls	cell	LOCATION_OF	ncbigene	aapp	278544	152911
umls	celc	PART_OF	umls	cell	168197	152180
umls	cell	PRODUCES	umls	aapp	223663	151690
umls	bpoc	LOCATION_OF	umls	bacs	186279	148651
umls	tisu	PART_OF	umls	mamm	154988	147571
umls	dsyn	CAUSES	umls	dsyn	258553	147514
umls	aapp	AFFECTS	umls	celf	216574	140480
umls	bacs	PART_OF	umls	celc	147734	139945
umls	bpoc	LOCATION_OF	umls	sosy	166491	137875
umls	topp	compared_with	umls	topp	177056	132144
umls	blor	LOCATION_OF	umls	diap	142255	130948
umls	blor	LOCATION_OF	umls	bpoc	159217	130264
umls	resa	USES	umls	topp	149567	129131
umls	tisu	LOCATION_OF	umls	topp	143913	126332
umls	patf	COEXISTS_WITH	umls	dsyn	185263	124494
umls	celc	PART_OF	umls	bpoc	139386	123254
umls	ortf	PROCESS_OF	umls	mamm	135781	122678
umls	topp	TREATS	umls	fndg	210791	122333
umls	gngm	ASSOCIATED_WITH	umls	neop	235749	119934
umls	tisu	PART_OF	umls	neop	123562	117007
umls	moft	PROCESS_OF	umls	cell	152854	115989
umls	orch	ISA	umls	orch	129867	115769
umls	lbpr	METHOD_OF	umls	lbpr	149928	115729
umls	bpoc	LOCATION_OF	umls	acab	132375	115715
umls	aapp	INHIBITS	umls	aapp	260296	113818
umls	topp	TREATS	umls	patf	156151	113156
umls	topp	TREATS	umls	popg	136442	112960
ncbigene	aapp	ISA	umls	aapp	118733	111932
umls	hlca	TREATS	umls	dsyn	154435	111913
umls	diap	DIAGNOSES	umls	neop	146664	111580
umls	humn	LOCATION_OF	umls	aapp	179861	111232
umls	fndg	COEXISTS_WITH	umls	dsyn	222608	111055
umls	blor	LOCATION_OF	umls	fndg	138071	110332
umls	plnt	LOCATION_OF	umls	aapp	174214	110193
umls	bacs	PART_OF	ncbigene	aapp	172627	109972
umls	aapp	PART_OF	umls	cell	158436	109173
umls	gngm	INTERACTS_WITH	umls	cell	206348	104709
umls	diap	ISA	umls	diap	106806	104689
umls	topp	METHOD_OF	umls	topp	164995	102991
umls	bpoc	LOCATION_OF	umls	cgab	118103	100361
umls	aapp	STIMULATES	umls	cell	162344	99961
umls	orgt	LOCATION_OF	umls	resa	104746	99637
umls	plnt	LOCATION_OF	umls	orch	151462	98687
umls	lbpr	METHOD_OF	umls	topp	112866	96111
umls	lbpr	MEASURES	umls	aapp	130119	93322
umls	tisu	LOCATION_OF	umls	lbpr	107961	93225
umls	celf	PROCESS_OF	umls	neop	106637	92109
umls	orch	INHIBITS	umls	gngm	220445	91782
umls	medd	USES	umls	phsu	113727	91373
umls	menp	PROCESS_OF	umls	mamm	99730	91311
umls	phsu	TREATS	umls	aggp	105180	90086
umls	hlca	USES	umls	diap	97670	88818
umls	blor	LOCATION_OF	umls	inpo	97424	88563
umls	neop	COEXISTS_WITH	umls	neop	128892	88133
umls	plnt	ISA	umls	plnt	104101	87962
umls	cell	LOCATION_OF	umls	neop	101459	86741
umls	phsu	TREATS	umls	fndg	178927	86245
umls	aapp	INTERACTS_WITH	umls	bacs	141851	85442
umls	aapp	PART_OF	umls	virs	102457	84511
umls	horm	TREATS	umls	mamm	92809	84145
umls	phsf	PROCESS_OF	umls	bpoc	96115	84126
umls	bacs	PART_OF	umls	bpoc	96935	83220
umls	gngm	CAUSES	umls	celf	126539	82747
umls	hlca	TREATS	umls	humn	103774	82738
umls	diap	DIAGNOSES	umls	fndg	117671	82602
umls	bact	CAUSES	umls	dsyn	108327	81137
umls	medd	USES	umls	mnob	103124	80812
umls	phsu	TREATS	umls	popg	105950	80514
umls	genf	PROCESS_OF	ncbigene	gngm	122755	80443
umls	topp	ADMINISTERED_TO	umls	humn	113370	80362
umls	cell	PART_OF	umls	humn	85286	79045
umls	orch	compared_with	umls	orch	125817	78890
umls	celc	LOCATION_OF	umls	moft	97043	78662
umls	ortf	PROCESS_OF	umls	humn	92784	78211
umls	medd	USES	umls	medd	109112	77839
umls	orch	TREATS	umls	neop	114226	76466
umls	antb	TREATS	umls	dsyn	100460	76394
umls	celc	LOCATION_OF	umls	npop	85452	76005
umls	bdsu	PART_OF	umls	humn	80309	75616
umls	mamm	ISA	umls	mamm	79167	75326
umls	celc	PART_OF	umls	celc	87354	75125
umls	aapp	AFFECTS	umls	orgf	114753	74869
umls	aapp	STIMULATES	ncbigene	gngm	169256	73950
umls	bacs	ISA	umls	bacs	75143	73682
umls	aapp	PART_OF	umls	tisu	92239	73357
umls	tisu	LOCATION_OF	umls	orgf	78663	73073
umls	bact	ISA	umls	bact	81207	72567
umls	dsyn	PROCESS_OF	umls	aggp	75818	72364
umls	topp	TREATS	umls	inpo	98331	71418
umls	diap	DIAGNOSES	umls	patf	90027	71215
umls	tisu	LOCATION_OF	umls	neop	82174	70862
umls	celf	PROCESS_OF	umls	mamm	78836	70502
umls	lbpr	USES	umls	topp	81617	70424
umls	resa	USES	umls	medd	80239	69224
umls	bacs	ASSOCIATED_WITH	umls	dsyn	110922	68477
umls	bact	LOCATION_OF	umls	aapp	116630	67188
umls	tisu	LOCATION_OF	umls	dsyn	87558	67086
umls	dsyn	PREDISPOSES	umls	dsyn	105157	67001
umls	orch	CAUSES	umls	celf	95822	66480
umls	aapp	compared_with	umls	aapp	115354	65377
umls	cell	LOCATION_OF	umls	genf	77873	65296
umls	emst	PART_OF	umls	mamm	67727	65281
umls	sosy	ASSOCIATED_WITH	umls	dsyn	106027	65266
umls	tisu	LOCATION_OF	ncbigene	aapp	112627	65196
umls	orgf	ASSOCIATED_WITH	umls	dsyn	95357	65099
umls	lbpr	DIAGNOSES	umls	dsyn	133283	65097
umls	tisu	LOCATION_OF	umls	orch	95991	63990
umls	resa	USES	umls	resd	64552	63906
umls	virs	PROCESS_OF	umls	humn	72986	63318
umls	bacs	STIMULATES	umls	gngm	108573	62675
umls	dsyn	PROCESS_OF	umls	bact	80497	62606
umls	aapp	COEXISTS_WITH	umls	gngm	203635	62588
umls	cell	LOCATION_OF	umls	orch	128983	62253
umls	topp	TREATS	umls	sosy	92055	62212
umls	aapp	PART_OF	umls	bact	87643	62105
umls	dsyn	COEXISTS_WITH	umls	fndg	138618	61896
umls	bdsy	LOCATION_OF	umls	topp	69935	61776
umls	cell	PART_OF	umls	tisu	68817	61419
umls	aapp	PART_OF	umls	humn	84563	61334
umls	horm	TREATS	umls	dsyn	81869	61070
umls	topp	PRECEDES	umls	diap	89800	60851
umls	celc	LOCATION_OF	ncbigene	aapp	113843	60565
umls	aapp	STIMULATES	umls	moft	110524	59866
umls	gngm	PART_OF	umls	blor	71696	59084
umls	lbpr	USES	umls	phsu	83243	59035
ncbigene	gngm	LOCATION_OF	umls	genf	97915	58279
umls	resa	USES	umls	mbrt	59538	57355
umls	moft	PROCESS_OF	umls	mamm	70180	57074
umls	phsf	PROCESS_OF	umls	humn	63291	56846
umls	lbpr	USES	ncbigene	aapp	78659	56816
umls	aapp	AFFECTS	umls	moft	109463	56359
umls	aapp	CAUSES	umls	dsyn	105054	56257
umls	bacs	INTERACTS_WITH	umls	aapp	106499	54576
umls	dsyn	CAUSES	umls	patf	93097	54300
umls	diap	USES	umls	medd	68444	54223
umls	cgab	PART_OF	umls	humn	61765	54179
umls	lbpr	USES	umls	medd	67028	53919
umls	phsf	PROCESS_OF	umls	mamm	58518	53573
umls	topp	TREATS	umls	mobd	72366	53456
umls	bsoj	PART_OF	umls	bpoc	63340	53288
umls	lbpr	USES	umls	irda	62783	53199
umls	diap	ADMINISTERED_TO	umls	humn	71310	52834
umls	aapp	ISA	ncbigene	aapp	59159	52424
umls	topp	USES	ncbigene	aapp	76344	51172
umls	cell	INTERACTS_WITH	umls	cell	66417	50899
umls	medd	TREATS	umls	dsyn	84030	50793
umls	mamm	LOCATION_OF	ncbigene	aapp	82468	50549
umls	aapp	ASSOCIATED_WITH	umls	patf	92530	50505
ncbigene	gngm	ASSOCIATED_WITH	umls	neop	127296	50466
umls	bdsu	PART_OF	umls	bpoc	57902	49649
umls	dsyn	CAUSES	umls	orgf	57896	49076
umls	tisu	PART_OF	umls	humn	52668	48964
umls	moft	PROCESS_OF	umls	tisu	60890	48481
umls	bacs	PART_OF	umls	virs	53949	48455
umls	lbpr	DIAGNOSES	umls	neop	75435	47980
umls	tisu	LOCATION_OF	umls	ortf	52810	46812
umls	bacs	PART_OF	umls	bact	55496	46693
umls	bacs	ASSOCIATED_WITH	umls	neop	62032	46679
umls	bsoj	LOCATION_OF	umls	neop	56379	46625
umls	fngs	ISA	umls	fngs	51311	46395
umls	bacs	PART_OF	umls	cell	56283	46218
umls	orch	CAUSES	umls	dsyn	78893	46078
umls	aapp	AUGMENTS	umls	celf	80390	45907
umls	virs	CAUSES	umls	dsyn	58630	45842
umls	hlca	USES	umls	phsu	59920	44827
umls	aapp	INTERACTS_WITH	ncbigene	aapp	104179	44530
umls	aapp	AFFECTS	umls	ortf	82841	44220
umls	humn	LOCATION_OF	umls	bdsu	49586	44067
umls	orch	STIMULATES	umls	gngm	129480	43893
umls	patf	CAUSES	umls	dsyn	76151	43767
umls	celc	LOCATION_OF	umls	orch	74018	43707
ncbigene	bacs	PART_OF	umls	aapp	54707	43508
umls	diap	USES	umls	lbpr	52561	43144
umls	virs	PROCESS_OF	umls	mamm	52402	42918
umls	topp	CAUSES	umls	dsyn	78691	42739
umls	phsu	TREATS	umls	mobd	54337	42365
umls	topp	ADMINISTERED_TO	umls	mamm	51325	42333
ncbigene	aapp	STIMULATES	umls	gngm	95184	42294
umls	orgf	COEXISTS_WITH	umls	orgf	49538	42056
umls	neop	ISA	umls	fndg	43681	41825
umls	celc	PART_OF	umls	mamm	45738	41684
ncbigene	aapp	INTERACTS_WITH	umls	aapp	100175	40810
ncbigene	aapp	ASSOCIATED_WITH	umls	neop	76846	40747
umls	cell	INTERACTS_WITH	umls	gngm	92673	40334
umls	bsoj	LOCATION_OF	umls	dsyn	51456	39538
ncbigene	gngm	PART_OF	umls	celc	54946	38593
umls	topp	TREATS	umls	anab	48594	38200
umls	diap	USES	umls	irda	43341	37784
umls	gngm	PRODUCES	umls	aapp	103935	37716
umls	tisu	PART_OF	umls	tisu	42363	37475
umls	dsyn	AFFECTS	umls	humn	61160	37346
umls	lbpr	USES	umls	elii	41934	37218
umls	tisu	LOCATION_OF	umls	inpo	40788	36839
umls	topp	USES	umls	antb	41907	36834
ncbigene	gngm	STIMULATES	umls	gngm	100907	36612
umls	orch	TREATS	umls	sosy	57048	36264
umls	genf	PROCESS_OF	umls	humn	41507	36207
umls	dora	TREATS	umls	humn	40567	36206
umls	bacs	INTERACTS_WITH	umls	bacs	53763	36203
umls	aapp	STIMULATES	umls	bacs	62498	36068
umls	aapp	AFFECTS	umls	genf	58920	35975
umls	orch	TREATS	umls	mobd	51741	35964
umls	chvf	TREATS	umls	dsyn	41912	35547
umls	gngm	PART_OF	umls	invt	60510	35424
umls	tisu	LOCATION_OF	umls	diap	41262	35178
umls	genf	CAUSES	umls	dsyn	43003	34805
umls	fngs	LOCATION_OF	umls	aapp	57858	34700
umls	bpoc	LOCATION_OF	umls	bact	44417	34300
umls	virs	ISA	umls	virs	37936	34211
umls	bacs	COEXISTS_WITH	umls	bacs	48818	34200
umls	orga	ASSOCIATED_WITH	umls	dsyn	55841	34130
umls	orch	ADMINISTERED_TO	umls	mamm	54994	34007
umls	phsu	CAUSES	umls	celf	42162	33651
umls	resa	MEASURES	umls	qnco	40613	33409
umls	phsu	TREATS	umls	patf	58556	33350
umls	aapp	ISA	umls	bacs	34865	33060
umls	chvf	TREATS	umls	neop	35520	33054
umls	mobd	PROCESS_OF	umls	mamm	36469	32909
umls	dsyn	PROCESS_OF	umls	popg	39899	32855
umls	mamm	LOCATION_OF	umls	orch	56457	32741
umls	mobd	COEXISTS_WITH	umls	mobd	46912	32483
umls	aapp	DISRUPTS	umls	celf	66796	32415
umls	cell	PRODUCES	ncbigene	aapp	63937	32358
umls	phsu	TREATS	umls	sosy	49452	32285
umls	dsyn	COEXISTS_WITH	umls	patf	68148	32285
umls	bpoc	LOCATION_OF	umls	inch	43343	32253
umls	medd	compared_with	umls	medd	41684	32138
umls	hcro	LOCATION_OF	umls	diap	43508	32092
umls	topp	USES	umls	lipd	35287	31999
umls	orch	INTERACTS_WITH	umls	aapp	113643	31985
umls	bacs	INHIBITS	umls	gngm	73852	31958
ncbigene	aapp	PART_OF	umls	mamm	40387	31669
umls	aapp	INTERACTS_WITH	umls	orch	99673	31347
umls	bacs	AFFECTS	umls	celf	44398	31216
umls	emst	LOCATION_OF	umls	aapp	58927	30698
umls	gngm	PART_OF	umls	neop	52863	30495
ncbigene	gngm	INTERACTS_WITH	umls	aapp	107506	30071
umls	aapp	PART_OF	umls	fngs	39594	29943
umls	topp	PREVENTS	umls	dsyn	57567	29854
umls	mobd	ISA	umls	mobd	31057	29631
ncbigene	aapp	PART_OF	umls	virs	34070	29607
umls	inpo	ISA	umls	inpo	31225	29550
umls	topp	USES	umls	carb	34164	29451
umls	orch	TREATS	umls	dsyn	43569	29439
umls	bpoc	PART_OF	umls	fish	39070	29394
umls	gngm	ASSOCIATED_WITH	umls	dsyn	95353	29266
ncbigene	gngm	CAUSES	umls	celf	51311	29176
umls	npop	ISA	umls	npop	29319	28961
umls	diap	METHOD_OF	umls	diap	45113	28905
ncbigene	gngm	INTERACTS_WITH	umls	cell	77751	28826
umls	dsyn	OCCURS_IN	umls	aggp	36437	28576
umls	aapp	LOCATION_OF	umls	genf	34433	28570
umls	gngm	AFFECTS	umls	celf	62346	28481
ncbigene	gngm	AFFECTS	umls	celf	63542	28471
umls	aapp	INTERACTS_WITH	ncbigene	gngm	96482	28375
ncbigene	aapp	ASSOCIATED_WITH	umls	dsyn	68607	28319
umls	blor	LOCATION_OF	umls	blor	35132	28265
umls	aapp	CAUSES	umls	patf	49892	28264
umls	diap	USES	umls	phsu	38752	28079
umls	bacs	PART_OF	umls	tisu	32329	28053
umls	antb	ISA	umls	antb	29103	27768
ncbigene	gngm	compared_with	ncbigene	gngm	45918	27683
umls	gngm	PART_OF	umls	mamm	43831	27651
umls	cell	LOCATION_OF	umls	elii	33152	27581
umls	geoa	ISA	umls	geoa	28247	27553
umls	aapp	AFFECTS	umls	bpoc	64922	27421
umls	hops	ISA	umls	hops	28605	27391
umls	mobd	COEXISTS_WITH	umls	dsyn	40950	27377
umls	bdsu	LOCATION_OF	umls	inch	31488	27263
umls	diap	USES	umls	elii	29298	26801
ncbigene	gngm	ASSOCIATED_WITH	umls	dsyn	80578	26795
umls	aapp	COEXISTS_WITH	umls	bacs	61651	26750
umls	topp	TREATS	umls	humn	41751	26680
umls	bpoc	LOCATION_OF	umls	bdsu	36545	26640
umls	lbpr	DIAGNOSES	umls	fndg	53559	26630
umls	humn	LOCATION_OF	ncbigene	aapp	57824	26601
umls	aapp	AFFECTS	umls	patf	47258	26546
umls	orch	COEXISTS_WITH	umls	inch	42092	26245
umls	moft	PROCESS_OF	umls	humn	37492	26172
umls	diap	ISA	umls	hlca	27144	26162
umls	dsyn	PRECEDES	umls	dsyn	55396	26132
umls	dsyn	ISA	umls	patf	29771	26107
umls	orch	COEXISTS_WITH	umls	orch	93602	26091
umls	bpoc	LOCATION_OF	umls	elii	34262	26052
umls	food	ISA	umls	food	26993	25942
umls	gngm	PART_OF	umls	humn	41555	25827
ncbigene	aapp	AFFECTS	umls	celf	44223	25822
umls	genf	PROCESS_OF	umls	mamm	30330	25799
umls	popg	ISA	umls	popg	26207	25732
umls	dora	TREATS	umls	dsyn	31819	25554
umls	celc	PART_OF	umls	bact	30208	25453
umls	dsyn	PROCESS_OF	umls	plnt	35287	25404
umls	topp	COEXISTS_WITH	umls	hlca	44267	25317
umls	celf	AFFECTS	umls	celf	34542	25146
umls	bsoj	LOCATION_OF	umls	fndg	35856	25077
umls	orch	INTERACTS_WITH	umls	orch	93865	25015
umls	bacs	AFFECTS	umls	orgf	33611	24908
umls	topp	TREATS	umls	podg	33319	24873
umls	dsyn	AFFECTS	umls	dsyn	61693	24848
umls	topp	TREATS	umls	cgab	36674	24843
umls	tisu	PART_OF	umls	plnt	27019	24814
umls	aapp	AUGMENTS	umls	ortf	41177	24775
umls	hcro	LOCATION_OF	umls	ocac	29555	24767
umls	lbpr	MEASURES	umls	qnco	36594	24502
umls	gngm	STIMULATES	umls	gngm	83983	24495
umls	aapp	PREDISPOSES	umls	dsyn	56110	24438
umls	orch	ISA	umls	topp	27084	24372
umls	gngm	PART_OF	umls	bpoc	38153	24309
ncbigene	aapp	PART_OF	umls	celc	33365	24305
umls	tisu	LOCATION_OF	umls	elii	27383	24235
umls	orch	TREATS	umls	mamm	32970	24222
umls	hlca	ADMINISTERED_TO	umls	humn	35154	24192
umls	phsu	TREATS	umls	humn	39617	24168
umls	lbpr	MEASURES	ncbigene	aapp	39827	24042
umls	patf	COEXISTS_WITH	umls	fndg	48873	23957
umls	aapp	AFFECTS	umls	fndg	76693	23940
umls	bpoc	LOCATION_OF	umls	hops	35115	23902
umls	aapp	COEXISTS_WITH	ncbigene	gngm	93005	23862
umls	lipd	STIMULATES	umls	gngm	31855	23492
umls	orch	compared_with	umls	medd	27011	23477
umls	prog	DIAGNOSES	umls	dsyn	41771	23373
umls	celc	PART_OF	umls	tisu	27449	23274
ncbigene	aapp	STIMULATES	umls	cell	50477	23124
umls	aapp	AFFECTS	umls	phsf	38464	23061
umls	neop	COEXISTS_WITH	umls	dsyn	48813	22951
umls	orch	TREATS	umls	patf	49529	22815
umls	phsu	INHIBITS	umls	gngm	47463	22781
umls	dsyn	NEG_PROCESS_OF	umls	humn	36299	22743
umls	orch	INHIBITS	ncbigene	gngm	69630	22709
umls	lbpr	ISA	umls	lbpr	23759	22558
umls	patf	COEXISTS_WITH	umls	neop	35383	22510
umls	celc	LOCATION_OF	umls	carb	26629	22465
umls	aapp	ISA	umls	phsu	24173	22416
umls	plnt	LOCATION_OF	umls	elii	28960	22395
umls	menp	ISA	umls	menp	23219	22324
umls	patf	ASSOCIATED_WITH	umls	gngm	52203	22272
umls	bacs	compared_with	umls	bacs	27851	22225
umls	dsyn	COEXISTS_WITH	umls	neop	52088	22179
umls	orch	CAUSES	umls	inpo	30059	22053
ncbigene	gngm	PART_OF	umls	blor	29210	21970
umls	bacs	PART_OF	umls	humn	27516	21830
umls	cell	LOCATION_OF	umls	virs	30271	21809
umls	nsba	PART_OF	umls	bpoc	23586	21747
umls	orch	DISRUPTS	umls	celf	52749	21718
umls	dsyn	CAUSES	umls	sosy	42956	21665
ncbigene	gngm	PART_OF	umls	mamm	42641	21646
umls	plnt	LOCATION_OF	umls	lipd	26573	21637
umls	bact	PRODUCES	umls	aapp	33528	21630
umls	bacs	ADMINISTERED_TO	umls	mamm	29333	21613
umls	orch	ADMINISTERED_TO	umls	humn	38043	21604
ncbigene	aapp	STIMULATES	umls	moft	42945	21570
umls	plnt	LOCATION_OF	umls	carb	28505	21516
umls	orch	DISRUPTS	umls	orgf	36265	21512
umls	comd	PROCESS_OF	umls	mamm	23916	21497
umls	topp	TREATS	umls	acab	29268	21472
umls	bpoc	PART_OF	umls	amph	24714	21335
ncbigene	aapp	PART_OF	umls	bpoc	33556	21263
umls	celf	COEXISTS_WITH	umls	celf	30198	21136
ncbigene	aapp	STIMULATES	ncbigene	gngm	50108	21135
umls	bdsu	PART_OF	umls	cell	23410	21077
umls	orch	CAUSES	umls	patf	37333	21061
umls	aapp	STIMULATES	umls	aapp	43135	21051
umls	mobd	PROCESS_OF	umls	aggp	21421	21028
umls	hlca	COEXISTS_WITH	umls	topp	39792	21022
umls	orch	CAUSES	umls	sosy	30527	20891
umls	topp	CAUSES	umls	patf	37249	20890
umls	bact	ASSOCIATED_WITH	umls	dsyn	34975	20741
umls	diap	MEASURES	umls	qnco	30105	20683
umls	diap	DIAGNOSES	umls	anab	26499	20551
umls	bpoc	LOCATION_OF	umls	strd	27982	20527
umls	imft	PART_OF	umls	virs	23240	20505
umls	cell	PRODUCES	umls	bacs	26662	20395
umls	orch	CAUSES	umls	fndg	43507	20365
ncbigene	gngm	PART_OF	umls	virs	26970	20353
umls	hlca	TREATS	umls	fndg	38833	20305
umls	aapp	INTERACTS_WITH	umls	gngm	73194	20251
umls	gngm	INTERACTS_WITH	umls	aapp	79353	20216
umls	topp	TREATS	umls	orga	30841	20129
umls	orch	TREATS	umls	bact	38438	20108
umls	aapp	INHIBITS	ncbigene	aapp	58472	20076
umls	dsyn	PROCESS_OF	umls	bird	29014	20059
ncbigene	gngm	PART_OF	umls	bpoc	37948	20057
umls	aapp	DISRUPTS	umls	orgf	32982	19793
umls	celf	PROCESS_OF	umls	humn	27003	19763
umls	bact	LOCATION_OF	umls	bacs	29080	19725
umls	phsf	PROCESS_OF	umls	plnt	23614	19658
ncbigene	aapp	compared_with	ncbigene	aapp	23913	19637
umls	cell	AFFECTS	umls	orgf	25182	19574
umls	comd	PROCESS_OF	umls	humn	23970	19572
umls	topp	AFFECTS	umls	orgf	34197	19561
umls	bacs	AFFECTS	umls	genf	24092	19442
umls	resa	MEASURES	umls	tmco	23244	19427
umls	aapp	INHIBITS	umls	bacs	40978	19321
umls	medd	TREATS	umls	humn	27898	19306
umls	aapp	AFFECTS	umls	dsyn	59942	19133
umls	celc	LOCATION_OF	umls	elii	23071	19074
umls	invt	CAUSES	umls	dsyn	26132	19074
umls	bpoc	LOCATION_OF	umls	biof	22895	19046
umls	aapp	AUGMENTS	umls	orgf	34508	18982
umls	celf	CAUSES	umls	celf	23953	18960
umls	elii	COEXISTS_WITH	umls	inch	23265	18958
umls	diap	DIAGNOSES	umls	inpo	26585	18810
umls	fndg	COEXISTS_WITH	umls	patf	41713	18759
umls	dsyn	ASSOCIATED_WITH	umls	genf	28307	18728
umls	antb	CAUSES	umls	fndg	20339	18715
umls	bsoj	LOCATION_OF	umls	inpo	22720	18682
umls	aapp	DISRUPTS	umls	moft	44519	18681
umls	patf	COEXISTS_WITH	umls	patf	32536	18542
umls	bacs	COEXISTS_WITH	umls	aapp	44372	18510
umls	neop	AFFECTS	umls	bpoc	38426	18455
umls	topp	PRECEDES	umls	acab	24834	18286
umls	bacs	CAUSES	umls	dsyn	31586	18283
umls	dsyn	PROCESS_OF	umls	anim	24483	18198
umls	comd	COEXISTS_WITH	umls	neop	27071	18169
umls	hcro	LOCATION_OF	umls	edac	21499	18106
umls	celc	LOCATION_OF	umls	bact	21185	18101
umls	fndg	PREDISPOSES	umls	dsyn	45049	18056
umls	neop	PROCESS_OF	umls	emod	19901	18031
umls	aapp	AUGMENTS	umls	bpoc	46579	17992
umls	bacs	PART_OF	umls	mamm	23240	17972
ncbigene	aapp	ISA	ncbigene	aapp	20890	17950
umls	lbpr	MEASURES	umls	bacs	24710	17941
umls	orgt	LOCATION_OF	umls	edac	19765	17867
umls	bacs	ASSOCIATED_WITH	umls	patf	26907	17864
umls	phsu	ADMINISTERED_TO	umls	humn	25767	17840
ncbigene	aapp	INHIBITS	umls	aapp	53903	17830
umls	celc	AFFECTS	umls	celf	25934	17805
umls	orch	AFFECTS	umls	orgf	38577	17804
umls	aapp	AFFECTS	umls	npop	40181	17719
umls	bacs	STIMULATES	ncbigene	gngm	37745	17647
umls	horm	TREATS	umls	aggp	19145	17646
umls	gngm	PART_OF	umls	celc	29161	17515
umls	bpoc	LOCATION_OF	umls	bsoj	28289	17487
